region;area;city;settlement;street;house
Респ Башкортостан;Чишминский р-н;;"с санатория ""Алкино""";тер 1441км автодороги Самара-Уфа-Челябинск;1
Пермский край;Чердынский р-н;;с Вильгорт;ул Трактовая;13
Челябинская обл;Ашинский р-н;г Миньяр;;ул Чертова;5
Краснодарский край;;г Новороссийск;с Гайдук;ш Новороссийское;17А
Сахалинская обл;Охинский р-н;г Оха;;ул 60 лет СССР;13А
Алтайский край;Третьяковский р-н;;с Шипуниха;ул Михайлова;16
Приморский край;Партизанский р-н;;с Владимиро-Александровское;ул Партизанская;159
Ставропольский край;;г Ставрополь;;ул Бурмистрова;26В
Приморский край;;г Владивосток;п Трудовое;ул Курчатова;34
Московская обл;;г Егорьевск;;ул Александра Невского;1
Забайкальский край;Могойтуйский р-н;;с Хара-Шибирь;ул Советская;33
г Севастополь;;;п Сахарная головка;ул Тимирязева;13
Тульская обл;Ленинский р-н;;с Алешня;ул Победы;4А
Краснодарский край;Каневской р-н;;ст-ца Стародеревянковская;ул Шевченко;220
Респ Тыва;Дзун-Хемчикский р-н;г Чадан;;ул Чургуй-Оол;15А
Иркутская обл;;г Усть-Кут;;ул Халтурина;44
Московская обл;;г Химки;;ул Авиационная;12
Краснодарский край;;г Сочи;;ул Главная;17
Краснодарский край;Анапский р-н;г Анапа;;ул Ленина;243
Омская обл;Знаменский р-н;;с Шухово;ул Ленина;3
Челябинская обл;Нязепетровский р-н;г Нязепетровск;;ул Южная;1
Ростовская обл;Неклиновский р-н;;с Приморка;пер 3-й;2А
Нижегородская обл;Сергачский р-н;г Сергач;;ул Школьная;8Б/1
Архангельская обл;;г Коряжма;;пр-кт имени М.В.Ломоносова;9
Сахалинская обл;;г Южно-Сахалинск;;ул Железнодорожная;100А
Краснодарский край;Кавказский р-н;г Кропоткин;;пер Колхозный;9
Респ Адыгея;;г Майкоп;ст-ца Ханская;ул Верещагина;37
Ставропольский край;Минераловодский р-н;г Минеральные Воды;;пр-кт 22 Партсъезда;137Б
Алтайский край;Алейский р-н;;с Новоколпаково;ул Приозерная;2
